word	zone	item	nItem	meanItemRT	sdItemRT	gmeanItemRT	gsdItemRT
'Admiral	344	9	76	426.0921052631579	174.94777717033764	395.07569043707156	1.4760115762985404
'admiral',	311	9	78	419.62820512820514	155.77840646704513	392.44306045472246	1.4500766813076098
'Ah	946	6	82	323.9634146341463	133.03285077651753	302.9366558017507	1.4259078068705664
'Based	885	8	70	351.98571428571427	130.42689027192262	332.8907663097271	1.3854071874010025
'broken'	361	9	75	406.4266666666667	164.7808678652179	374.94986936122365	1.5051666547409426
'Budge	1040	6	79	349.49367088607596	161.62348406235523	317.7287568816916	1.546483594772421
'But	716	1	85	341.77647058823527	249.62402092092077	304.2410044195241	1.5254329946459426
'Come	390	4	88	352.1818181818182	117.23888035937817	334.41640016231213	1.3813511605949838
'Come,	842	2	92	343.1847826086956	140.36138047384563	319.43243563094956	1.4551810783792916
'confessions'	606	8	73	383.958904109589	130.0418136126655	363.23017635159226	1.4029863592805527
'Do	766	4	89	326.5730337078652	120.64418831276782	308.97906266468976	1.3871829965819233
'Do	1005	5	97	313.6701030927835	85.26413881402657	302.30885621144284	1.3167518195231156
'Don't	414	6	83	328.86746987951807	103.80631249713156	314.04467845511255	1.3553088236911208
'Except	411	4	88	429.15909090909093	361.72387024802504	358.56620105970023	1.7113393781090833
'Extraordinary	699	9	78	404.71794871794873	199.99499327732516	369.42182648275156	1.5160102156600053
'flying	166	8	74	409.6081081081081	224.6283882550697	365.60725649165136	1.5897909516229551
'flying	209	8	73	363.013698630137	193.33272220813504	328.9322301328581	1.5253915509598235
'fog'.	277	2	91	409.4725274725275	319.5577617986507	350.4911693535814	1.6450747679668152
'For	597	6	81	328.28395061728395	103.85329009808756	313.13832166814746	1.3610766770093377
'General	348	9	77	354.57142857142856	96.4969904863998	341.57067890425947	1.3212717476415259
'General'	318	9	77	412.97402597402595	152.7857955324152	389.07182989719996	1.4130832990479607
'Good	1059	6	81	358.9259259259259	277.0861227929765	314.2013979773073	1.5766586514873504
'Grandmother,'	812	3	90	444.81111111111113	196.87644528134066	407.265395333287	1.523502662711122
'Haven't	147	7	77	381.961038961039	160.6356978054152	354.079539495066	1.4745427122491555
'He'll	572	6	82	331.390243902439	122.32478081896947	312.475143292775	1.4011715550498147
'He's	14	6	84	384.8333333333333	227.1264089058998	346.070003052515	1.5472190476380803
'hoover'.	391	6	82	464.1951219512195	279.04747323993087	400.60305749479033	1.6997069310754966
'How	545	7	74	317.36486486486484	90.12709052910651	305.0816003332219	1.3288066105754055
'How	778	1	84	338.48809523809524	152.59131131982608	312.897979310423	1.4662943718273478
'I	239	7	76	364.1578947368421	264.60562113613935	325.25839549860194	1.5225932235507553
'I	489	4	88	324.53409090909093	106.22422054949598	308.32033923205114	1.3810322232125285
'I	495	5	93	326.2258064516129	159.869996711476	303.9599282233636	1.4207557143549163
'I	734	4	89	347.1011235955056	109.95505744536761	330.61431898969073	1.370353550876492
'I	786	5	93	318.61290322580646	109.28751790953754	303.6691183734509	1.3517898136089228
'I	800	1	84	315.3333333333333	98.55318829796822	301.12954629975434	1.3550467990784767
'I	835	1	85	317	266.0005818110358	283.4174360858631	1.480287375571959
'I	859	4	87	316.60919540229884	118.6083408496744	298.2821610831733	1.4077953785211739
'I	932	4	88	307.2613636363636	110.88530828527927	290.0799169208711	1.401855795682456
'I	1051	6	80	356.4125	189.5806627530176	324.17773723476677	1.5123275031010714
'I	1066	4	88	321.78409090909093	101.83121587018802	306.5131686557213	1.3686743869991762
'I'm	141	7	76	385.5394736842105	137.53432936683828	363.9268763356059	1.4036983640966194
'I'm	772	5	94	322.531914893617	153.50154649689662	302.3523663795058	1.3881225428947919
'I'm	1005	6	79	318.253164556962	122.07358734401427	299.70998572236107	1.4014065969349059
'I've	841	6	80	322.8125	136.06216875319453	300.23788415524314	1.4494686257359108
'It's	516	2	92	359.9021739130435	237.4584317483988	320.77530046930593	1.5566610361659676
'Just	252	6	83	347.8192771084337	129.25670663152124	327.5839883423461	1.4090546823708576
'Mogul'.	83	8	72	574.9166666666666	312.80177541731655	500.2097574390932	1.707302736059852
'No,	248	7	76	338.63157894736844	121.19151148550114	318.78390367430535	1.4216294531839004
'No'.	592	5	94	405.21276595744683	271.7259400608352	359.6251211752872	1.5651791961591501
'Nothing	667	6	82	330.4268292682927	118.0579508763852	313.8151912889854	1.368492436613761
'O	817	3	91	355.9230769230769	171.88886789429648	329.55075123090586	1.4524694320717306
'On	405	6	83	332.4698795180723	127.48336451488127	314.34486739931765	1.3804241323816424
'Or	677	6	83	348.43373493975906	148.72524944905953	324.25009895254715	1.4425021214156657
'Scratch!'	449	3	90	480.0111111111111	239.34857728465772	428.8016081124515	1.6131268914603272
'She	953	3	91	384.72527472527474	165.89468318679147	354.74377876832415	1.491062540585859
'Small	289	6	83	357.48192771084337	127.8344357444123	337.2805109302955	1.405844631024913
'Someone	720	3	91	406.15384615384613	316.03459455772395	353.3278768922346	1.6068684757142844
'That	201	6	84	371	135.2710799108256	349.01790347272697	1.420386995595718
'The	676	1	85	352.77647058823527	191.7674916881048	317.8384347784072	1.5406064495362393
'The	827	1	83	340.9277108433735	168.64212238422772	312.79788064422445	1.4783342024761608
'The	857	1	83	315.32530120481925	114.84210883555915	297.0447461520176	1.408475077533355
'The	868	1	85	311.45882352941175	139.0383257321842	289.20976678351786	1.4503614227303134
'The	930	8	71	356.14084507042253	232.0163353716192	318.27303361179	1.5436189416562947
'Then	588	4	88	360.7613636363636	156.26524711397084	332.1984332602896	1.499040695059008
'Then	708	1	85	338.8235294117647	171.31231410376031	313.3349319515745	1.4444471549907056
'Then	878	1	85	318.2823529411765	142.21350580199126	296.9163366888822	1.4205056423437692
'This	792	6	82	314.1341463414634	133.82988669471052	294.52531474957084	1.4148508401495044
'To	495	7	73	334.67123287671234	134.55296920569987	313.24100083183936	1.4245578048093073
'tulip	427	9	78	365.93589743589746	140.6311690473549	340.90732795000065	1.4604527955246238
'tulip	1018	9	75	340.14666666666665	113.85465999950817	322.0510566617332	1.396117058355262
'Tulip	290	9	76	406.44736842105266	183.20665160681926	372.30816485207043	1.5190896107603278
'Was	115	7	75	385.94666666666666	184.62268998597563	350.85928424999264	1.5370676370453251
'What	364	4	87	325.37931034482756	93.03590721907851	312.1145125538163	1.3419717012567893
'What	523	1	85	327.25882352941176	106.75652683751457	311.1656293592092	1.3751522758395185
'What	764	1	84	335.64285714285717	128.34475811780044	317.06763390434855	1.384561282246741
'What's	662	6	82	339.8536585365854	116.43491499930039	322.67340727108365	1.3738821897955242
'Where's	392	6	82	420.0853658536585	197.6027440967252	384.3477032074741	1.5068495013178567
'Why	666	5	94	352.63829787234044	145.4878224267961	329.74651800855617	1.4280299955736908
'With	684	1	84	335.35714285714283	234.02361341350124	304.4631068879017	1.4629253325067042
'witnesses'	529	8	72	398.2916666666667	169.86792197319934	365.7702548868059	1.5186012379930367
'Yes,	1080	4	90	359.3777777777778	118.95637740509468	340.1428245201922	1.401488744592082
'Yes,'	164	7	75	386.72	170.47648327951674	356.6322149210294	1.4831035221482511
'You	548	4	87	367.735632183908	129.8577450448844	346.87348345890337	1.4132740813665148
'You	868	5	94	328.72340425531917	97.6633898957068	316.26940225329224	1.3148966827931712
'You,	535	4	87	336.98850574712645	124.64661622408106	316.6015945098043	1.4221342532611831
'You,	746	4	89	345.9325842696629	129.5530601856742	326.9279411458243	1.39039991595941
'You,	968	6	82	292.0731707317073	99.69778784373028	278.8987559580975	1.3422100367355283
'You've	625	6	83	435.0843373493976	284.6385900520371	375.44884608502207	1.6740342582202332
(purple	230	9	79	366.46835443037975	139.3716517770104	344.1342418812868	1.419447820257758
(red	223	9	79	396.0759493670886	110.1800126310667	381.15565782910227	1.3256747036845045
(red,	243	9	79	409.50632911392404	177.09398297396382	379.7623106438577	1.4699735123083024
a	3	4	92	336.7282608695652	188.29449130625903	302.1834747671901	1.5492189257237226
a	3	6	83	371.7590361445783	273.66200402657324	324.7739917074498	1.6070488729093673
a	3	10	77	447.6623376623377	344.8473960887631	372.3645909803014	1.749052619212583
a	4	9	83	343.3614457831325	286.4414799261351	302.9802341507736	1.5368422105246604
a	9	7	78	419.96153846153845	268.02177864153845	363.09073604268076	1.675065804073012
a	15	1	85	343.8588235294118	213.12209517311996	306.64117842348935	1.5520649145363299
a	16	4	88	329.6818181818182	225.0321328500599	288.3100973714652	1.5985387012961136
a	37	2	89	345.97752808988764	162.58598966309899	315.18723655347134	1.5264216795332168
a	37	7	76	376.88157894736844	148.79479982896024	348.93208288969134	1.4916756635162802
a	38	3	91	389.64835164835165	288.8001759627954	344.8157515919377	1.5600540298053776
a	41	1	87	397.41379310344826	260.39185818212144	350.7366075192534	1.5888092314178925
a	42	5	93	309.35483870967744	123.85349384772687	289.271992760771	1.4294889570515623
a	46	5	94	326.7340425531915	240.53118526857986	288.7427994763018	1.5540459830700222
a	48	3	91	386.1208791208791	213.69614124134478	345.45393467769605	1.5686153823931697
a	52	9	79	362.43037974683546	188.08295248096385	324.36235955923655	1.581536901661465
a	56	3	91	368.5824175824176	143.0797808476924	342.84004387753316	1.4681481812466721
a	77	4	88	379.1931818181818	204.22057367365986	340.26342171206477	1.560143328996075
a	79	3	91	376.2197802197802	219.23583457079081	331.69311334333497	1.627717178657848
a	79	8	75	313.36	119.37468154761541	293.19885879451056	1.437134490261667
a	80	7	76	345.2368421052632	133.34685282335965	322.8188602383937	1.4407803091598708
a	82	10	74	375.4054054054054	217.19664210167787	333.8301080293847	1.586783864991314
a	88	5	95	335.6	119.01138869157808	315.3397222534827	1.4292000649889431
a	92	8	75	358.4266666666667	167.83632417242615	330.1342432344919	1.4786860289453458
a	107	8	75	338.6	155.55741097134558	312.7996831665656	1.4649722472288509
a	110	6	85	332.22352941176473	120.14429583100602	311.9495019070773	1.427704884601476
a	113	3	92	354.5869565217391	146.98681649591055	329.2075363284783	1.4651564316525187
a	114	4	88	340.3636363636364	156.19845774756175	313.50164921734256	1.4782827227568798
a	114	8	75	312.41333333333336	108.62395999356994	295.356501864483	1.398441269704631
a	115	10	74	351.8243243243243	192.39922522186924	319.36500036235884	1.518529694470771
a	117	4	88	360.3181818181818	214.59336287443668	324.14597294265116	1.5302299714166598
a	119	9	80	380.725	297.00189553160607	337.17009998214996	1.5390119530400863
a	121	10	74	371.77027027027026	189.74868363088058	335.99233410502455	1.5444541011050335
a	124	1	86	380.2906976744186	207.81840864387408	340.6229643984065	1.5642641786931488
a	125	3	92	342.7826086956522	151.14790268286097	318.07059114721784	1.4549748424943214
a	126	2	91	315.05494505494505	136.28853075062335	294.7965501902988	1.4126563883337864
a	126	10	72	378.1111111111111	263.18303787307445	334.4538286247977	1.5682782193861193
a	128	9	79	363.62025316455697	168.47668208112154	332.074347101909	1.5186042645959164
a	133	1	86	343.13953488372096	157.55396183274127	317.1902796970234	1.461274959682969
a	138	3	91	381.2857142857143	169.5675077440831	349.53099904662884	1.5133281705501442
a	138	5	95	331.17894736842106	119.04638635953282	312.4580203879887	1.401778691740538
a	145	8	74	438.85135135135135	321.1844382194026	383.64007418517787	1.605321249014423
a	147	1	87	355.44827586206895	256.0950386187368	314.6477870450212	1.5442744559535655
a	153	6	83	335.65060240963857	112.37420432827618	317.24643059003034	1.4069318986129757
a	154	10	72	340.375	135.9623433264406	317.35186348825937	1.4448857535383235
a	157	1	87	369.04597701149424	188.07216007803515	333.9027461083686	1.5354100460902431
a	163	1	86	363.19767441860466	319.3684510466552	312.5674875005251	1.6010990276370514
a	163	2	91	368.8901098901099	154.39447676861522	341.93552582226516	1.4686552696047115
a	164	8	74	347.6756756756757	133.01303964382828	325.6738560200784	1.4316635098784214
a	169	8	75	329.49333333333334	119.30954214498874	309.3912925823456	1.4294966375462415
a	171	5	94	329.468085106383	132.58770293842227	309.758311649399	1.4051807098205564
a	179	5	95	369.1684210526316	204.10446077206365	331.8363387002197	1.5487905447700199
a	179	10	73	332.1232876712329	159.7629272465124	304.27776146244	1.5005267329876202
a	182	3	92	357.29347826086956	125.30801944496332	336.7689053274062	1.4161960893853436
a	184	3	92	374.7282608695652	160.67735080178053	348.80056171742484	1.4471888234326347
a	187	9	79	329.0632911392405	115.48408057369905	311.7002454867845	1.3828717505650265
a	192	9	79	333.0759493670886	123.560508601843	312.87381058750316	1.4204343742703742
a	193	5	93	307.2903225806452	122.6498711111857	289.82061743177235	1.3890685309351183
a	193	8	75	318.6533333333333	108.98617484023515	301.4643760406128	1.3965493068820378
a	196	9	79	326.60759493670884	176.41446083827557	299.25934161625634	1.473872789677818
a	208	8	75	307.6533333333333	105.00405311782575	290.58465996619725	1.4072029280768308
a	214	3	91	377.42857142857144	190.6522805095498	349.1304017919819	1.4392492701687267
a	217	7	76	318.0657894736842	123.6238742343151	298.1521959526187	1.4247537954364118
a	217	10	74	397.85135135135135	293.8508000148744	341.7724328013817	1.6538149325710516
a	238	9	79	350.54430379746833	116.57536326214642	333.4266606068872	1.3691320280122314
a	245	6	84	332.4404761904762	149.22452971830748	310.02042438803085	1.42729437495101
a	253	4	88	349.54545454545456	133.92131066550135	327.42038521623067	1.4297554812888529
a	275	9	79	317.126582278481	116.14396096628812	299.04651189417	1.4025935164066015
a	276	4	88	324.85227272727275	143.60078280553188	299.6127106756718	1.4830159634222702
a	287	1	86	331.5348837209302	169.83263025173235	305.2866472518997	1.4637930790326856
a	287	10	73	340.09589041095893	170.81155669199723	312.3385550935587	1.4755421833915545
a	292	8	75	312.97333333333336	112.86968967285618	294.5390821807831	1.4163104562957307
a	318	7	76	301.8421052631579	130.08664319153638	282.9076988235729	1.401096649662833
a	323	3	91	316.1758241758242	109.78570979732325	300.0876264723881	1.3744840929490862
a	325	8	75	316.2133333333333	107.53833927681053	300.66376423339557	1.36939329512887
a	331	3	90	327.43333333333334	126.60280718260893	308.62913430665964	1.3968511719626489
a	349	10	73	326.8493150684931	105.5203602303151	311.333348604173	1.365731622891494
a	353	10	71	335.88732394366195	131.28666010961058	314.0870270943471	1.4376164580152078
a	357	2	92	297.9021739130435	103.80000421167163	283.4829209373434	1.3580005324256073
a	360	5	94	373.67021276595744	142.72240808592997	349.43177542583766	1.4407743999768448
a	361	7	74	298.8918918918919	97.66837482116372	284.95114597495717	1.3575904672107575
a	368	7	75	315.73333333333335	141.65663981474214	291.22070079932627	1.4766306327588583
a	373	7	75	326.9866666666667	127.1083272128418	307.6603199938581	1.4048114332991175
a	379	8	75	316.72	127.9960472362647	295.8283357304303	1.434237659168216
a	382	9	76	347.4736842105263	110.52571027403057	330.7040166800088	1.3747565055614124
a	386	9	77	331.8831168831169	118.20989071918397	311.3574113815505	1.4414597998800531
a	387	6	83	319.6144578313253	126.49070450039936	301.10134202341095	1.3936011074562373
a	390	1	83	305.3855421686747	120.02467544322397	287.37612125499277	1.399951456480167
a	393	9	76	380.7894736842105	156.2754248788101	353.7862102782078	1.4588910318534638
a	399	8	75	335.8933333333333	163.89660331006428	304.5677313546427	1.5393093176073465
a	405	9	76	346.60526315789474	140.2285828160454	324.71100712629436	1.4212162749837516
a	414	4	86	337.7325581395349	145.70610422988295	313.89777908931984	1.44599919351127
