1.1.whole	If
1.1.word	If
1.1.1	If
1.2.whole	you
1.2.word	you
1.2.1	you
1.3.whole	were
1.3.word	were
1.3.1	were
1.4.whole	to
1.4.word	to
1.4.1	to
1.5.whole	journey
1.5.word	journey
1.5.1	journey
1.6.whole	to
1.6.word	to
1.6.1	to
1.7.whole	the
1.7.word	the
1.7.1	the
1.8.whole	North
1.8.word	North
1.8.1	North
1.9.whole	of
1.9.word	of
1.9.1	of
1.10.whole	England ,
1.10.word	England
1.10.1	England
1.10.2	,
1.11.whole	you
1.11.word	you
1.11.1	you
1.12.whole	would
1.12.word	would
1.12.1	would
1.13.whole	come
1.13.word	come
1.13.1	come
1.14.whole	to
1.14.word	to
1.14.1	to
1.15.whole	a
1.15.word	a
1.15.1	a
1.16.whole	valley
1.16.word	valley
1.16.1	valley
1.17.whole	that
1.17.word	that
1.17.1	that
1.18.whole	is
1.18.word	is
1.18.1	is
1.19.whole	surrounded
1.19.word	surrounded
1.19.1	surrounded
1.20.whole	by
1.20.word	by
1.20.1	by
1.21.whole	moors
1.21.word	moors
1.21.1	moors
1.22.whole	as
1.22.word	as
1.22.1	as
1.23.whole	high
1.23.word	high
1.23.1	high
1.24.whole	as
1.24.word	as
1.24.1	as
1.25.whole	mountains .
1.25.word	mountains
1.25.1	mountains
1.25.2	.
1.26.whole	It
1.26.word	It
1.26.1	It
1.27.whole	is
1.27.word	is
1.27.1	is
1.28.whole	in
1.28.word	in
1.28.1	in
1.29.whole	this
1.29.word	this
1.29.1	this
1.30.whole	valley
1.30.word	valley
1.30.1	valley
1.31.whole	where
1.31.word	where
1.31.1	where
1.32.whole	you
1.32.word	you
1.32.1	you
1.33.whole	would
1.33.word	would
1.33.1	would
1.34.whole	find
1.34.word	find
1.34.1	find
1.35.whole	the
1.35.word	the
1.35.1	the
1.36.whole	city
1.36.word	city
1.36.1	city
1.37.whole	of
1.37.word	of
1.37.1	of
1.38.whole	Bradford ,
1.38.word	Bradford
1.38.1	Bradford
1.38.2	,
1.39.whole	where
1.39.word	where
1.39.1	where
1.40.whole	once
1.40.word	once
1.40.1	once
1.41.whole	a
1.41.word	a
1.41.1	a
1.42.whole	thousand
1.42.word	thousand
1.42.1	thousand
1.43.whole	spinning
1.43.word	spinning
1.43.1	spinning
1.44.whole	jennies
1.44.word	jennies
1.44.1	jennies
1.45.whole	that
1.45.word	that
1.45.1	that
1.46.whole	hummed
1.46.word	hummed
1.46.1	hummed
1.47.whole	and
1.47.word	and
1.47.1	and
1.48.whole	clattered
1.48.word	clattered
1.48.1	clattered
1.49.whole	spun
1.49.word	spun
1.49.1	spun
1.50.whole	wool
1.50.word	wool
1.50.1	wool
1.51.whole	into
1.51.word	into
1.51.1	into
1.52.whole	money
1.52.word	money
1.52.1	money
1.53.whole	for
1.53.word	for
1.53.1	for
1.54.whole	the
1.54.word	the
1.54.1	the
1.55.whole	long - bearded
1.55.word	long - bearded
1.55.1	long
1.55.2	-
1.55.3	bearded
1.56.whole	mill
1.56.word	mill
1.56.1	mill
1.57.whole	owners .
1.57.word	owners
1.57.1	owners
1.57.2	.
1.58.whole	That
1.58.word	That
1.58.1	That
1.59.whole	all
1.59.word	all
1.59.1	all
1.60.whole	mill
1.60.word	mill
1.60.1	mill
1.61.whole	owners
1.61.word	owners
1.61.1	owners
1.62.whole	were
1.62.word	were
1.62.1	were
1.63.whole	generally
1.63.word	generally
1.63.1	generally
1.64.whole	busy
1.64.word	busy
1.64.1	busy
1.65.whole	as
1.65.word	as
1.65.1	as
1.66.whole	beavers
1.66.word	beavers
1.66.1	beavers
1.67.whole	and
1.67.word	and
1.67.1	and
1.68.whole	quite
1.68.word	quite
1.68.1	quite
1.69.whole	pleased
1.69.word	pleased
1.69.1	pleased
1.70.whole	with
1.70.word	with
1.70.1	with
1.71.whole	themselves
1.71.word	themselves
1.71.1	themselves
1.72.whole	for
1.72.word	for
1.72.1	for
1.73.whole	being
1.73.word	being
1.73.1	being
1.74.whole	so
1.74.word	so
1.74.1	so
1.75.whole	successful
1.75.word	successful
1.75.1	successful
1.76.whole	and
1.76.word	and
1.76.1	and
1.77.whole	well
1.77.word	well
1.77.1	well
1.78.whole	off
1.78.word	off
1.78.1	off
1.79.whole	was
1.79.word	was
1.79.1	was
1.80.whole	known
1.80.word	known
1.80.1	known
1.81.whole	to
1.81.word	to
1.81.1	to
1.82.whole	the
1.82.word	the
1.82.1	the
1.83.whole	residents
1.83.word	residents
1.83.1	residents
1.84.whole	of
1.84.word	of
1.84.1	of
1.85.whole	Bradford ,
1.85.word	Bradford
1.85.1	Bradford
1.85.2	,
1.86.whole	and
1.86.word	and
1.86.1	and
1.87.whole	if
1.87.word	if
1.87.1	if
1.88.whole	you
1.88.word	you
1.88.1	you
1.89.whole	were
1.89.word	were
1.89.1	were
1.90.whole	to
1.90.word	to
1.90.1	to
1.91.whole	go
1.91.word	go
1.91.1	go
1.92.whole	into
1.92.word	into
1.92.1	into
1.93.whole	the
1.93.word	the
1.93.1	the
1.94.whole	city
1.94.word	city
1.94.1	city
1.95.whole	to
1.95.word	to
1.95.1	to
1.96.whole	visit
1.96.word	visit
1.96.1	visit
1.97.whole	the
1.97.word	the
1.97.1	the
1.98.whole	stately
1.98.word	stately
1.98.1	stately
1.99.whole	City
1.99.word	City
1.99.1	City
1.100.whole	Hall ,
1.100.word	Hall
1.100.1	Hall
1.100.2	,
1.101.whole	you
1.101.word	you
1.101.1	you
1.102.whole	would
1.102.word	would
1.102.1	would
1.103.whole	see
1.103.word	see
1.103.1	see
1.104.whole	there
1.104.word	there
1.104.1	there
1.105.whole	the
1.105.word	the
1.105.1	the
1.106.whole	Crest
1.106.word	Crest
1.106.1	Crest
1.107.whole	of
1.107.word	of
1.107.1	of
1.108.whole	the
1.108.word	the
1.108.1	the
1.109.whole	City
1.109.word	City
1.109.1	City
1.110.whole	of
1.110.word	of
1.110.1	of
1.111.whole	Bradford ,
1.111.word	Bradford
1.111.1	Bradford
1.111.2	,
1.112.whole	which
1.112.word	which
1.112.1	which
1.113.whole	those
1.113.word	those
1.113.1	those
1.114.whole	same
1.114.word	same
1.114.1	same
1.115.whole	mill
1.115.word	mill
1.115.1	mill
1.116.whole	owners
1.116.word	owners
1.116.1	owners
1.117.whole	created
1.117.word	created
1.117.1	created
1.118.whole	to
1.118.word	to
1.118.1	to
1.119.whole	celebrate
1.119.word	celebrate
1.119.1	celebrate
1.120.whole	their
1.120.word	their
1.120.1	their
1.121.whole	achievements .
1.121.word	achievements
1.121.1	achievements
1.121.2	.
1.122.whole	It
1.122.word	It
1.122.1	It
1.123.whole	shows
1.123.word	shows
1.123.1	shows
1.124.whole	a
1.124.word	a
1.124.1	a
1.125.whole	sinister
1.125.word	sinister
1.125.1	sinister
1.126.whole	looking
1.126.word	looking
1.126.1	looking
1.127.whole	boar 's
1.127.word	boar 's
1.127.1	boar
1.127.2	's
1.128.whole	head
1.128.word	head
1.128.1	head
1.129.whole	sitting
1.129.word	sitting
1.129.1	sitting
1.130.whole	on
1.130.word	on
1.130.1	on
1.131.whole	top
1.131.word	top
1.131.1	top
1.132.whole	of
1.132.word	of
1.132.1	of
1.133.whole	a
1.133.word	a
1.133.1	a
1.134.whole	well
1.134.word	well
1.134.1	well
1.135.whole	which
1.135.word	which
1.135.1	which
1.136.whole	seems
1.136.word	seems
1.136.1	seems
1.137.whole	puzzling
1.137.word	puzzling
1.137.1	puzzling
1.138.whole	at
1.138.word	at
1.138.1	at
1.139.whole	first ,
1.139.word	first
1.139.1	first
1.139.2	,
1.140.whole	but
1.140.word	but
1.140.1	but
1.141.whole	the
1.141.word	the
1.141.1	the
1.142.whole	reason
1.142.word	reason
1.142.1	reason
1.143.whole	for
1.143.word	for
1.143.1	for
1.144.whole	this
1.144.word	this
1.144.1	this
1.145.whole	symbol
1.145.word	symbol
1.145.1	symbol
1.146.whole	is
1.146.word	is
1.146.1	is
1.147.whole	a
1.147.word	a
1.147.1	a
1.148.whole	matter
1.148.word	matter
1.148.1	matter
1.149.whole	of
1.149.word	of
1.149.1	of
1.150.whole	legend .
1.150.word	legend
1.150.1	legend
1.150.2	.
1.151.whole	There
1.151.word	There
1.151.1	There
1.152.whole	was
1.152.word	was
1.152.1	was
1.153.whole	once ,
1.153.word	once
1.153.1	once
1.153.2	,
1.154.whole	legend
1.154.word	legend
1.154.1	legend
1.155.whole	has
1.155.word	has
1.155.1	has
1.156.whole	it ,
1.156.word	it
1.156.1	it
1.156.2	,
1.157.whole	a
1.157.word	a
1.157.1	a
